,heading,location,rent per month,Bedrooom,Bathrooom,Area-sqft
0,"Rent this Elegant 2,000 Sq Ft Fully Furnished Apartment in Bashundhara R-A","Block C, Bashundhara R-A","৳100,000",3,3,2000 sqft
1,Reasonable 1300 Sq Ft Apartment for Rent in Khilgaon,"Block C, Khilgaon","৳24,000",3,3,1300 sqft
2,600 Sq. Ft. Cozy Apartment Available for Rent in Dhanmondi,"Central Road, Dhanmondi","৳20,000",1,2,600 sqft
3,Offering You Nice 1900 Sq Ft Apartment To Rent In Uttara,"Sector 10, Uttara","৳40,000",3,4,1900 sqft
4,Find 1200 SQ FT flat available for Rent in Mohammadpur near to Mohammadpur Shia Masji...,"Bosila, Mohammadpur","৳21,000",,,
5,In The Fine Location Of Bashundhara R-a A 1900 Sq Ft Apartment Is All Set For Rent Ne...,"Block F, Bashundhara R-A","৳30,000",,,
6,"950sq.ft apartment is for rent in Near by Abdullahpur,Uttara,Dhaka","Sector 9, Uttara","৳20,000",,,
7,1000 SQ FT flat for Rent in Mirpur close to Kacha Bazar,"Section 6, Mirpur","৳20,000",,,
8,"Well developed and nicely planned 1150 SQ FT flat is up for rent in Badda, near Manar...","Shahjadpur, Badda","৳26,000",,,
9,You Can Move Into This Well Planned And Comfortable Residential Flat In Banasree For ...,"Block C, Banasree","৳23,000",,,
10,Offering you a 1916 SQ FT flat for Rent in Baridhara near to Baridhara Jame Masjid,"Block K, Baridhara","৳56,000",,,
11,"This 3 Bedroom Smartly Priced Apartment Which Is Up For Rent In Uttara 6, That You Sh...","Sector 6, Uttara","৳27,000",,,
12,Your Perfect Urban Home Awaits: Spacious 1090 Sq. Ft. Flat in Uttara Sector 11,"Sector 11, Uttara","৳23,000",2,2,1090 sqft
13,"Experience Modern Comfort, Rent a Spacious 1650 Sq. Ft. Flat in Bashundhara R/A","Block B, Bashundhara R-A","৳38,000",3,3,1650 sqft
14,"Spacious 3,700 Sq Ft Apartment Available for Rent in Gulshan-2","Gulshan 2, Gulshan","৳200,000",4,5,3700 sqft
15,Modest 1300 Square Feet Apartment For Rent In Adabor,"PC Culture Housing, Mohammadpur","৳20,000",3,3,1300 sqft
